frame,time_seconds,mean_abs_difference,changed_fraction_ge_12
1,0.0,0.0,0.0
2,0.016667,0.012361,0.0
3,0.033333,0.020833,0.0
4,0.05,0.017778,0.0
5,0.066667,0.000972,0.0
6,0.083333,6.9e-05,0.0
7,0.1,0.0,0.0
8,0.116667,0.000208,0.0
9,0.133333,0.005208,0.000139
10,0.15,0.004028,6.9e-05
11,0.166667,0.001806,6.9e-05
12,0.183333,0.000208,0.0
13,0.2,0.174722,0.0
14,0.216667,0.074583,0.0
15,0.233333,0.061667,0.0
16,0.25,0.156736,0.0
17,0.266667,0.060069,0.0
18,0.283333,0.032292,0.0
19,0.3,0.0125,0.0
20,0.316667,0.002083,0.0
21,0.333333,0.022639,0.0
22,0.35,0.001181,0.0
23,0.366667,0.000208,0.0
24,0.383333,0.0,0.0
25,0.4,0.001736,0.0
26,0.416667,0.0,0.0
27,0.433333,0.0,0.0
28,0.45,0.0,0.0
29,0.466667,0.0,0.0
30,0.483333,0.043889,0.0
31,0.5,0.017222,0.0
32,0.516667,0.098264,0.0
33,0.533333,0.178889,0.0
34,0.55,0.044583,0.0
35,0.566667,0.034722,0.0
36,0.583333,0.14375,0.0
37,0.6,0.062778,0.0
38,0.616667,0.050556,0.0
39,0.633333,0.163681,0.0
40,0.65,0.042917,0.0
41,0.666667,0.091181,0.0
42,0.683333,0.017639,0.0
43,0.7,0.025556,0.0
44,0.716667,0.087361,0.0
45,0.733333,0.070139,0.0
46,0.75,0.009306,0.0
47,0.766667,0.014097,0.0
48,0.783333,0.063542,0.0
49,0.8,0.065694,0.0
50,0.816667,0.001528,0.0
51,0.833333,0.007292,0.0
52,0.85,0.034653,0.0
53,0.866667,0.033542,0.0
54,0.883333,0.009236,0.0
55,0.9,0.016597,0.0
56,0.916667,0.059028,0.0
57,0.933333,0.199583,0.0
58,0.95,0.080764,0.0
59,0.966667,0.080139,0.0
60,0.983333,0.238958,0.0
61,1.0,0.173889,0.0
62,1.016667,0.012292,0.0
63,1.033333,0.015208,0.0
64,1.05,0.084653,0.0
65,1.066667,0.085,0.0
66,1.083333,0.039861,0.0
67,1.1,0.02875,0.0
